institution,institutional_region,normalised_institution,latitude,longitude,country,country_code,taught_workshops,taught_workshop_dates,taught_workshops_per_year,domains,badges,badges_dates,swc-instructor,dc-instructor,lc-instructor,trainer,earliest_badge_awarded,year_earliest_badge_awarded,airport,airport_code,airport_latitude,airport_longitude,airport_region
"EPCC, University of Edinburgh",,"EPCC, University of Edinburgh",,,United Kingdom,GB,"2019-03-28-heriotwatt,2019-06-26-heriotwatt,2019-09-04-edinburgh-swc,2020-01-21-edinburgh-swc","2019-03-28,2019-06-26,2019-09-04,2020-01-21","{2019: 3, 2020: 1}","['Physics', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2020-08-27'],2020-08-27,,,,2020-08-27,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2018-10-08-edinburgh-igmm-shell,2019-09-04-edinburgh-swc,2020-01-21-edinburgh-swc,2020-11-17-edinburgh-swc-online","2018-10-09,2019-09-04,2020-01-21,2020-11-17","{2018: 1, 2019: 1, 2020: 2}",,['swc-instructor'],['2020-08-17'],2020-08-17,,,,2020-08-17,2020,,,,,
Cancer Research UK Cambridge Institute,,Cancer Research UK Cambridge Institute,,,United Kingdom,GB,2019-01-15-CRUK-Cambridge-DCinR,2019-01-15,{2019: 1},"['Genetics', ' genomics', ' bioinformatics']",['dc-instructor'],['2019-01-29'],,2019-01-29,,,2019-01-29,2019,,,,,
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2019-03-04'],2019-03-04,,,,2019-03-04,2019,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,"2019-05-01-Imperial,2019-11-14-Imperial","2019-05-01,2019-11-14",{2019: 2},"['Physics', 'Computer science/electrical engineering']",['swc-instructor'],['2019-02-27'],2019-02-27,,,,2019-02-27,2019,London Gatwick,LGW,51.148056,-0.190278,South East
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,,,,"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']",['swc-instructor'],['2019-02-20'],2019-02-20,,,,2019-02-20,2019,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,2019-06-19-bham,2019-06-19,{2019: 1},"['Humanities', 'High performance computing']",['swc-instructor'],['2019-03-04'],2019-03-04,,,,2019-03-04,2019,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,2019-05-15-bham,2019-05-15,{2019: 1},"['Physics', 'Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2019-03-21'],2019-03-21,,,,2019-03-21,2019,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,2019-05-01-Imperial,2019-05-01,{2019: 1},"['Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2019-02-20'],2019-02-20,,,,2019-02-20,2019,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,"2019-10-10-Imperial,2019-04-15-Imperial","2019-10-10,2019-04-15",{2019: 2},"['Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2020-01-15'],2020-01-15,,,,2020-01-15,2020,,,,,
The Alan Turing Institute,London,The Alan Turing Institute,51.530126,-0.127673,United Kingdom,GB,,,,['Physics'],['swc-instructor'],['2019-03-04'],2019-03-04,,,,2019-03-04,2019,,,,,
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2019-01-23-edinburgh-geosc-sc,2020-01-29-edinburgh","2019-01-23,2020-01-29","{2019: 1, 2020: 1}","['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics', 'Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2020-08-27'],2020-08-27,,,,2020-08-27,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2019-10-07-unixshell,2020-09-17-IGMM-swdc","2019-10-07,2020-09-17","{2019: 1, 2020: 1}","['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2019-09-09'],2019-09-09,,,,2019-09-09,2019,Edinburgh,EDI,55.95,-3.3725,Scotland
UNIVERSITY OF EDINBURGH,,UNIVERSITY OF EDINBURGH,,,United Kingdom,GB,2019-02-20-edinburgh-sbs-dc,2019-02-20,{2019: 1},"['Genetics', ' genomics', ' bioinformatics']",['dc-instructor'],['2019-09-24'],,2019-09-24,,,2019-09-24,2019,Edinburgh,EDI,55.95,-3.3725,Scotland
"University of Edinburgh, Edinburgh College of Art",,"University of Edinburgh, Edinburgh College of Art",,,United Kingdom,GB,"2019-12-10-heriotwatt,2020-11-25-edinburgh-dc-digital-humanities","2019-12-10,2020-11-25","{2019: 1, 2020: 1}",['Humanities'],['swc-instructor'],['2020-08-19'],2020-08-19,,,,2020-08-19,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'Social sciences', 'Psychology/neuroscience', 'Mathematics/statistics']",['swc-instructor'],['2020-03-09'],2020-03-09,,,,2020-03-09,2020,,,,,
University of St Andrews,Scotland,University of St Andrews,56.341205,-2.793016,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Mathematics/statistics']",['dc-instructor'],['2019-07-02'],,2019-07-02,,,2019-07-02,2019,,,,,
University of Bristol,South West,University of Bristol,51.459064,-2.6032919999999997,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Humanities', 'Mathematics/statistics']",['swc-instructor'],['2019-11-23'],2019-11-23,,,,2019-11-23,2019,,,,,
Research Fellow,,Research Fellow,,,United Kingdom,GB,,,,"['Physics', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2019-10-10'],2019-10-10,,,,2019-10-10,2019,,,,,
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,,,,['Humanities'],['swc-instructor'],['2019-10-02'],2019-10-02,,,,2019-10-02,2019,,,,,
University of Bath,,University of Bath,,,United Kingdom,GB,,,,"['Physics', 'Library and information science']",['lc-instructor'],['2019-08-27'],,,2019-08-27,,2019-08-27,2019,Bristol,BRS,51.3825,-2.718889,South West
Queen Mary University of London,,Queen Mary University of London,,,United Kingdom,GB,2020-11-25-rslondon,2020-11-25,{2020: 1},"['Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2020-02-03'],2020-02-03,,,,2020-02-03,2020,,,,,
British Library,London,British Library,51.584516,-0.136804,United Kingdom,GB,,,,"['Humanities', 'Library and information science']",['lc-instructor'],['2019-09-19'],,,2019-09-19,,2019-09-19,2019,Stansted,STN,51.885,0.235,Eastern
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,,,,['Library and information science'],['swc-instructor'],['2019-10-17'],2019-10-17,,,,2019-10-17,2019,,,,,
University of York,Yorkshire and The Humber,University of York,53.948437,-1.053553,United Kingdom,GB,,,,['Library and information science'],['lc-instructor'],['2019-09-04'],,,2019-09-04,,2019-09-04,2019,,,,,
University of York,Yorkshire and The Humber,University of York,53.948437,-1.053553,United Kingdom,GB,,,,"['Humanities', 'Library and information science']",['swc-instructor'],['2019-09-05'],2019-09-05,,,,2019-09-05,2019,,,,,
The Alan Turing Institute,London,The Alan Turing Institute,51.530126,-0.127673,United Kingdom,GB,,,,,['swc-instructor'],['2019-10-02'],2019-10-02,,,,2019-10-02,2019,,,,,
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2019-02-07-Edinburgh-OpenRefine,2019-11-15-edinburgh-library-carpentry,2020-11-17-edinburgh-swc-online","2019-02-07,2019-11-15,2020-11-17","{2019: 2, 2020: 1}","['Genetics', ' genomics', ' bioinformatics', 'Library and information science']",['dc-instructor'],['2019-11-28'],,2019-11-28,,,2019-11-28,2019,,,,,
Cambridge University Press,,Cambridge University Press,,,United Kingdom,GB,,,,['Library and information science'],['lc-instructor'],['2020-01-27'],,,2020-01-27,,2020-01-27,2020,,,,,
"Government Digital Service, Cabinet Office, UK Government",,"Government Digital Service, Cabinet Office, UK Government",,,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Mathematics/statistics']",['swc-instructor'],['2019-10-15'],2019-10-15,,,,2019-10-15,2019,London Heathrow,LHR,51.4775,-0.46138900000000005,London
The British Library,,The British Library,,,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'Social sciences', 'Humanities', 'Library and information science', 'Education']",['lc-instructor'],['2020-01-15'],,,2020-01-15,,2020-01-15,2020,London Heathrow,LHR,51.4775,-0.46138900000000005,London
King's College London,London,King's College London,51.510734,-0.11691199999999999,United Kingdom,GB,,,,"['Physics', 'Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Medicine', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering']",['swc-instructor'],['2019-10-15'],2019-10-15,,,,2019-10-15,2019,Stansted,STN,51.885,0.235,Eastern
King's College London,London,King's College London,51.510734,-0.11691199999999999,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering']",['swc-instructor'],['2019-10-23'],2019-10-23,,,,2019-10-23,2019,,,,,
King's College London,London,King's College London,51.510734,-0.11691199999999999,United Kingdom,GB,,,,"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Humanities']",['swc-instructor'],['2019-10-10'],2019-10-10,,,,2019-10-10,2019,,,,,
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,,,,"['Social sciences', 'Mathematics/statistics']",['dc-instructor'],['2020-02-07'],,2020-02-07,,,2020-02-07,2020,,,,,
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Social sciences']",['swc-instructor'],['2020-01-10'],2020-01-10,,,,2020-01-10,2020,,,,,
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,,,,['Library and information science'],['dc-instructor'],['2019-11-05'],,2019-11-05,,,2019-11-05,2019,,,,,
University Of Leeds,,University Of Leeds,,,United Kingdom,GB,,,,"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']",['swc-instructor'],['2019-12-07'],2019-12-07,,,,2019-12-07,2019,,,,,
The University of Edinburgh,,The University of Edinburgh,,,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Social sciences', 'Education', 'High performance computing']",['swc-instructor'],['2020-01-03'],2020-01-03,,,,2020-01-03,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
The Sainsbury Laboratory,Eastern,The Sainsbury Laboratory,52.62462,1.222558,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'High performance computing']",['swc-instructor'],['2020-01-13'],2020-01-13,,,,2020-01-13,2020,,,,,
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2019-06-26-heriotwatt,2019-09-04-edinburgh-swc,2020-01-29-edinburgh,2020-06-04-sfc-online,2020-05-26-sfc-online","2019-06-26,2019-09-04,2020-01-29,2020-06-04,2020-05-26","{2019: 2, 2020: 3}","['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']",['dc-instructor'],['2020-10-01'],,2020-10-01,,,2020-10-01,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Manchester,,University of Manchester,,,United Kingdom,GB,,,,['Psychology/neuroscience'],['dc-instructor'],['2019-12-08'],,2019-12-08,,,2019-12-08,2019,,,,,
University of Manchester,,University of Manchester,,,United Kingdom,GB,,,,['Computer science/electrical engineering'],['swc-instructor'],['2020-02-15'],2020-02-15,,,,2020-02-15,2020,,,,,
Swansea University,Wales,Swansea University,51.609621999999995,-3.9806489999999997,United Kingdom,GB,2020-01-08-swansea,2020-01-08,{2020: 1},"['Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'High performance computing']",['swc-instructor'],['2019-11-13'],2019-11-13,,,,2019-11-13,2019,,,,,
University of York,Yorkshire and The Humber,University of York,53.948437,-1.053553,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics']",['dc-instructor'],['2019-12-10'],,2019-12-10,,,2019-12-10,2019,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
University of St Andrews,Scotland,University of St Andrews,56.341205,-2.793016,United Kingdom,GB,,,,"['Physics', 'Mathematics/statistics']",['swc-instructor'],['2020-01-15'],2020-01-15,,,,2020-01-15,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
UK Atomic Energy Authority,,UK Atomic Energy Authority,,,United Kingdom,GB,"2020-01-15-ukaea-swcarpentry,2020-05-29-ukaea-swcarpentry","2020-01-15,2020-05-29",{2020: 2},"['Computer science/electrical engineering', 'Education']",['swc-instructor'],['2019-12-20'],2019-12-20,,,,2019-12-20,2019,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Swansea Academy of Advanced Computing,,Swansea Academy of Advanced Computing,,,United Kingdom,GB,"2020-01-08-swansea,2019-02-07-swansea,2020-10-19-swansea,2020-11-23-swansea","2020-01-08,2019-02-07,2020-10-19,2020-11-23","{2020: 3, 2019: 1}","['Physics', 'High performance computing']",['dc-instructor'],['2020-01-06'],,2020-01-06,,,2020-01-06,2020,,,,,
University of Manchester,,University of Manchester,,,United Kingdom,GB,,,,,['swc-instructor'],['2019-11-28'],2019-11-28,,,,2019-11-28,2019,,,,,
UCL,,UCL,,,United Kingdom,GB,"2019-11-04-UCL_software_carpentry,2020-07-27-UCL_hpc_carpentry-online","2019-11-04,2020-07-27","{2019: 1, 2020: 1}","['Space sciences', 'Physics', 'High performance computing']",['swc-instructor'],['2020-01-15'],2020-01-15,,,,2020-01-15,2020,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,"['Civil', ' mechanical', ' chemical', ' or nuclear engineering']",['swc-instructor'],['2019-11-17'],2019-11-17,,,,2019-11-17,2019,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,['Computer science/electrical engineering'],['swc-instructor'],['2020-01-10'],2020-01-10,,,,2020-01-10,2020,,,,,
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2019-07-15-UCL_software_carpentry,2019-11-04-UCL_software_carpentry,2020-09-30-UCL","2019-07-15,2019-11-04,2020-09-30","{2019: 2, 2020: 1}","['Space sciences', 'Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics']",['swc-instructor'],['2020-01-15'],2020-01-15,,,,2020-01-15,2020,,,,,
UK Atomic Energy Authority,,UK Atomic Energy Authority,,,United Kingdom,GB,"2020-01-15-ukaea-swcarpentry,2020-05-29-ukaea-swcarpentry","2020-01-15,2020-05-29",{2020: 2},['Physics'],['swc-instructor'],['2019-11-23'],2019-11-23,,,,2019-11-23,2019,,,,,
"Culham Centre for Fusion Energy, UKAEA",,"Culham Centre for Fusion Energy, UKAEA",,,United Kingdom,GB,"2020-01-15-ukaea-swcarpentry,2020-05-29-ukaea-swcarpentry","2020-01-15,2020-05-29",{2020: 2},"['Civil', ' mechanical', ' chemical', ' or nuclear engineering']",['swc-instructor'],['2020-01-10'],2020-01-10,,,,2020-01-10,2020,,,,,
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,2020-02-18-UCL,2020-02-18,{2020: 1},['Mathematics/statistics'],['dc-instructor'],['2019-12-07'],,2019-12-07,,,2019-12-07,2019,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,"['Chemistry', 'Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2019-12-07'],2019-12-07,,,,2019-12-07,2019,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,2019-09-25-UCL_software_carpentry,2019-09-25,{2019: 1},"['Genetics', ' genomics', ' bioinformatics', 'Medicine', 'Computer science/electrical engineering', 'Education']",['swc-instructor'],['2019-11-28'],2019-11-28,,,,2019-11-28,2019,,,,,
Queen Mary University London,,Queen Mary University London,,,United Kingdom,GB,2019-11-14-Imperial,2019-11-14,{2019: 1},"['Physics', 'Computer science/electrical engineering']",['swc-instructor'],['2020-08-19'],2020-08-19,,,,2020-08-19,2020,,,,,
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'Medicine']",['swc-instructor'],['2019-12-20'],2019-12-20,,,,2019-12-20,2019,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Imperial College London,,Imperial College London,,,United Kingdom,GB,2019-11-14-Imperial,2019-11-14,{2019: 1},"['Physics', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Education', 'Mathematics/statistics']",['swc-instructor'],['2020-01-15'],2020-01-15,,,,2020-01-15,2020,,,,,
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,"['Psychology/neuroscience', 'Education']",['dc-instructor'],['2019-12-20'],,2019-12-20,,,2019-12-20,2019,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2020-01-21-edinburgh-swc,2020-04-16-sfc-online,2020-11-10-ssi-online","2020-01-21,2020-04-16,2020-11-10",{2020: 3},"['Physics', 'Chemistry', 'High performance computing']",['dc-instructor'],['2020-08-13'],,2020-08-13,,,2020-08-13,2020,,,,,
Newcastle University,,Newcastle University,,,United Kingdom,GB,"2020-07-06-Genesis,2020-08-31-SA-ONLINE,2020-11-02-NWU-ONLINE,2020-10-26-NCL-SWC-ONLINE,2020-12-07-NCL-SWC-ONLINE","2020-07-06,2020-08-31,2020-11-02,2020-10-26,2020-12-07",{2020: 5},"['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2020-04-02'],2020-04-02,,,,2020-04-02,2020,Newcastle,NCL,55.0375,-1.6916669999999998,North East
Newcastle University,,Newcastle University,,,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']",['dc-instructor'],['2020-06-24'],,2020-06-24,,,2020-06-24,2020,,,,,
Cardiff University,Wales,Cardiff University,51.489093,-3.179907,United Kingdom,GB,,,,['Social sciences'],['swc-instructor'],['2020-10-01'],2020-10-01,,,,2020-10-01,2020,Bristol,BRS,51.3825,-2.718889,South West
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,"['Physics', 'Chemistry', 'High performance computing']",['swc-instructor'],['2020-07-15'],2020-07-15,,,,2020-07-15,2020,,,,,
MRC IGMM Cancer Research UK Edinburgh Centre - The University of Edinburgh,,MRC IGMM Cancer Research UK Edinburgh Centre - The University of Edinburgh,,,United Kingdom,GB,"2020-07-01-sfc-online,2020-06-16-sfc-online","2020-07-01,2020-06-16",{2020: 2},"['Genetics', ' genomics', ' bioinformatics', 'Medicine', 'Computer science/electrical engineering', 'Economics/business', 'Psychology/neuroscience', 'Mathematics/statistics']",['dc-instructor'],['2020-08-11'],,2020-08-11,,,2020-08-11,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
"University of Edinburgh, School of Biological Sciences",,"University of Edinburgh, School of Biological Sciences",,,United Kingdom,GB,"2020-06-25-edinburgh-dc-genomics,2020-12-01-edinburgh-bio-online","2020-06-25,2020-12-01",{2020: 2},"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics']",['dc-instructor'],['2020-09-22'],,2020-09-22,,,2020-09-22,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
"GeoSciences, Univ. of Edinburgh",,"GeoSciences, Univ. of Edinburgh",,,United Kingdom,GB,,,,"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'High performance computing']",['swc-instructor'],['2020-11-24'],2020-11-24,,,,2020-11-24,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,,,,"['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Computer science/electrical engineering']",['dc-instructor'],['2020-09-16'],,2020-09-16,,,2020-09-16,2020,,,,,
University of Birmingham,West Midlands,University of Birmingham,52.448986,-1.930855,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2020-08-07'],2020-08-07,,,,2020-08-07,2020,,,,,
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,2020-02-12-edinburgh,2020-02-12,{2020: 1},"['Humanities', 'Library and information science']",['dc-instructor'],['2020-08-19'],,2020-08-19,,,2020-08-19,2020,,,,,
Lancaster University,,Lancaster University,,,United Kingdom,GB,,,,"['Psychology/neuroscience', 'Humanities', 'Mathematics/statistics']",['swc-instructor'],['2020-08-11'],2020-08-11,,,,2020-08-11,2020,,,,,
Software Sustainability Institute,,Software Sustainability Institute,,,United Kingdom,GB,,,,"['Space sciences', 'Physics']",['swc-instructor'],['2020-07-20'],2020-07-20,,,,2020-07-20,2020,Manchester,MAN,53.353611,-2.274722,North West
Newcastle University,,Newcastle University,,,United Kingdom,GB,2020-12-07-NCL-SWC-ONLINE,2020-12-07,{2020: 1},['Computer science/electrical engineering'],['swc-instructor'],['2020-10-22'],2020-10-22,,,,2020-10-22,2020,,,,,
"Digital Research Service & Mathematical Science, The University of Nottingham",,"Digital Research Service & Mathematical Science, The University of Nottingham",,,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'Education']",['swc-instructor'],['2020-09-22'],2020-09-22,,,,2020-09-22,2020,,,,,
Newcastle University Digital Institute,,Newcastle University Digital Institute,,,United Kingdom,GB,"2020-10-26-NCL-SWC-ONLINE,2020-12-07-NCL-SWC-ONLINE","2020-10-26,2020-12-07",{2020: 2},['Computer science/electrical engineering'],['swc-instructor'],['2020-10-16'],2020-10-16,,,,2020-10-16,2020,,,,,
Newcastle University,,Newcastle University,,,United Kingdom,GB,,,,['Psychology/neuroscience'],['swc-instructor'],['2020-11-30'],2020-11-30,,,,2020-11-30,2020,,,,,
Newcastle University,,Newcastle University,,,United Kingdom,GB,,,,"['Physics', 'Computer science/electrical engineering']",['swc-instructor'],['2020-10-13'],2020-10-13,,,,2020-10-13,2020,,,,,
Newcastle University,,Newcastle University,,,United Kingdom,GB,,,,['Computer science/electrical engineering'],['swc-instructor'],['2020-12-02'],2020-12-02,,,,2020-12-02,2020,,,,,
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,,,,['Medicine'],['dc-instructor'],['2020-11-24'],,2020-11-24,,,2020-11-24,2020,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Cardiff University,Wales,Cardiff University,51.489093,-3.179907,United Kingdom,GB,2020-11-02-cardiff-online,2020-11-02,{2020: 1},"['Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'High performance computing']",['swc-instructor'],['2020-10-01'],2020-10-01,,,,2020-10-01,2020,,,,,
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics']",['swc-instructor'],['2020-09-28'],2020-09-28,,,,2020-09-28,2020,Edinburgh,EDI,55.95,-3.3725,Scotland
King's College London,London,King's College London,51.510734,-0.11691199999999999,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Psychology/neuroscience']",['swc-instructor'],['2020-11-30'],2020-11-30,,,,2020-11-30,2020,,,,,
King's College London,London,King's College London,51.510734,-0.11691199999999999,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics', 'Psychology/neuroscience']",['swc-instructor'],['2020-11-16'],2020-11-16,,,,2020-11-16,2020,,,,,
The Alan Turing Institute,London,The Alan Turing Institute,51.530126,-0.127673,United Kingdom,GB,,,,"['Physics', 'Mathematics/statistics']",['swc-instructor'],['2020-11-24'],2020-11-24,,,,2020-11-24,2020,,,,,
